ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555559
2, 22-01-2018 13:05:00, OFF, Stop2, Company1, Bus37, 5500005555555559
3, 22-01-2018 13:30:00, ON, Stop2, Company1, Bus37, 5500005555555559
4, 22-01-2018 13:00:05, ON, Stop1, Company1, Bus37, 122000000000003
5, 22-01-2018 13:05:10, OFF, Stop3, Company1, Bus37, 34343434343434
9, 22-01-2018 13:05:00, ON, Stop2, Company1, Bus37, 5019717010103742
6, 22-01-2018 13:12:00, OFF, Stop3, Company1, Bus37, 5019717010103742
7, 22-01-2018 13:00:10, ON, Stop1, Company1, Bus37, 34343434343434
8, 22-01-2018 13:05:05, OFF, Stop2, Company1, Bus37, 122000000000003
10, 22-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555678
11, 22-01-2018 13:00:03, OFF, Stop1, Company1, Bus37, 5500005555555678
12, 22-01-2018 13:40:10, ON, Stop1, Company1, Bus37, 34343434343434
